director_name,imdb_score
Michael Bay,6.6
Michael Bay,7.4
Michael Bay,6.5
Michael Bay,6.9
Michael Bay,6.6
Michael Bay,6.8
Michael Bay,6.9
Michael Bay,7.1
Michael Bay,6.1
Michael Bay,7.4
Michael Bay,5.7
Michael Bay,6.0
Michael Bay,6.3
Peter Jackson,7.4
Peter Jackson,7.5
Peter Jackson,8.7
Peter Jackson,8.9
Peter Jackson,6.7
Peter Jackson,7.9
Peter Jackson,7.2
Peter Jackson,8.8
Peter Jackson,7.2
Peter Jackson,6.7
Peter Jackson,7.9
Peter Jackson,7.2
Sam Raimi,7.5
Sam Raimi,6.4
Sam Raimi,6.6
Sam Raimi,7.6
Sam Raimi,6.2
Sam Raimi,7.8
Sam Raimi,6.4
Sam Raimi,6.5
Sam Raimi,6.2
Sam Raimi,7.6
Sam Raimi,7.3
Sam Raimi,6.4
Sam Raimi,7.3
Steven Spielberg,7.6
Steven Spielberg,6.2
Steven Spielberg,7.9
Steven Spielberg,8.0
Steven Spielberg,7.8
Steven Spielberg,7.7
Steven Spielberg,8.5
Steven Spielberg,6.8
Steven Spielberg,6.5
Steven Spielberg,7.3
Steven Spielberg,8.9
Steven Spielberg,7.7
Steven Spielberg,7.6
Steven Spielberg,7.4
Steven Spielberg,8.1
Steven Spielberg,6.7
Steven Spielberg,7.2
Steven Spielberg,6.5
Steven Spielberg,7.4
Steven Spielberg,7.1
Steven Spielberg,8.0
Steven Spielberg,8.6
Steven Spielberg,7.6
Steven Spielberg,7.2
Steven Spielberg,5.9
Steven Spielberg,8.3
Tim Burton,7.0
Tim Burton,5.7
Tim Burton,6.5
Tim Burton,6.5
Tim Burton,8.0
Tim Burton,5.7
Tim Burton,6.7
Tim Burton,7.6
Tim Burton,6.2
Tim Burton,7.0
Tim Burton,7.5
Tim Burton,7.9
Tim Burton,7.9
Tim Burton,6.3
Tim Burton,7.0
Tim Burton,7.4
