,director_name,imdb_score
0,Clint Eastwood,8.0
1,Clint Eastwood,7.4
2,Clint Eastwood,7.1
3,Clint Eastwood,6.4
4,Clint Eastwood,6.7
5,Clint Eastwood,6.5
6,Clint Eastwood,6.4
7,Clint Eastwood,6.9
8,Clint Eastwood,6.6
9,Clint Eastwood,6.6
10,Clint Eastwood,7.3
11,Clint Eastwood,8.1
12,Clint Eastwood,8.2
13,Clint Eastwood,7.8
14,Clint Eastwood,7.5
15,Clint Eastwood,5.9
16,Clint Eastwood,7.6
17,Clint Eastwood,7.3
18,Clint Eastwood,8.3
19,Clint Eastwood,7.9
20,Martin Scorsese,7.0
21,Martin Scorsese,8.3
22,Martin Scorsese,8.2
23,Martin Scorsese,7.6
24,Martin Scorsese,7.0
25,Martin Scorsese,6.7
26,Martin Scorsese,7.4
27,Martin Scorsese,7.3
28,Martin Scorsese,8.3
29,Martin Scorsese,7.2
30,Martin Scorsese,7.2
31,Martin Scorsese,8.7
32,Martin Scorsese,6.8
33,Martin Scorsese,8.2
34,Martin Scorsese,8.2
35,Martin Scorsese,7.5
36,Martin Scorsese,7.5
37,Martin Scorsese,8.5
38,Martin Scorsese,7.5
39,Martin Scorsese,8.1
40,Ridley Scott,6.7
41,Ridley Scott,8.1
42,Ridley Scott,7.8
43,Ridley Scott,8.2
44,Ridley Scott,7.2
45,Ridley Scott,6.6
46,Ridley Scott,7.7
47,Ridley Scott,7.0
48,Ridley Scott,5.3
49,Ridley Scott,6.9
50,Ridley Scott,6.6
51,Ridley Scott,8.5
52,Ridley Scott,6.1
53,Ridley Scott,7.1
54,Ridley Scott,5.8
55,Ridley Scott,6.1
56,Ridley Scott,8.5
57,Steven Spielberg,8.0
58,Steven Spielberg,7.9
59,Steven Spielberg,6.5
60,Steven Spielberg,7.8
61,Steven Spielberg,6.8
62,Steven Spielberg,8.1
63,Steven Spielberg,8.5
64,Steven Spielberg,6.2
65,Steven Spielberg,7.4
66,Steven Spielberg,8.0
67,Steven Spielberg,7.7
68,Steven Spielberg,7.4
69,Steven Spielberg,8.6
70,Steven Spielberg,7.2
71,Steven Spielberg,8.3
72,Steven Spielberg,7.6
73,Steven Spielberg,6.7
74,Steven Spielberg,7.2
75,Steven Spielberg,7.6
76,Steven Spielberg,7.3
77,Steven Spielberg,6.5
78,Steven Spielberg,7.1
79,Steven Spielberg,5.9
80,Steven Spielberg,7.7
81,Steven Spielberg,8.9
82,Steven Spielberg,7.6
83,Woody Allen,7.1
84,Woody Allen,6.8
85,Woody Allen,7.3
86,Woody Allen,6.7
87,Woody Allen,6.8
88,Woody Allen,8.1
89,Woody Allen,7.5
90,Woody Allen,7.4
91,Woody Allen,6.8
92,Woody Allen,7.7
93,Woody Allen,6.7
94,Woody Allen,6.3
95,Woody Allen,6.4
96,Woody Allen,7.2
97,Woody Allen,7.6
98,Woody Allen,6.3
99,Woody Allen,6.3
100,Woody Allen,7.2
101,Woody Allen,6.4
102,Woody Allen,7.7
103,Woody Allen,6.6
104,Woody Allen,7.3
